,Dataset,Base,Cubic,EqualWidth,EqualFreq,Tree
0,Glass,0.000324010848999,0.000360012054443,0.000274896621704,0.000292062759399,0.000375032424927
1,Cancer,0.000214815139771,0.000453948974609,0.000353097915649,0.000363111495972,0.000318050384521
2,Heart,0.0002760887146,0.000415086746216,0.00100588798523,0.000262975692749,0.000319004058838
3,Iris,0.000192880630493,0.000237941741943,0.000180959701538,0.00016188621521,0.000166893005371
4,Wine,0.000323057174683,0.000344038009644,0.000358819961548,0.00031304359436,0.00031304359436
